subject,question,label,max,mean,ratio,task,topic,verb_auto,attr_method
AP Physics 2,1,A2,1.0,0.52,0.52,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,A3,1.0,0.76,0.76,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,A4,1.0,0.56,0.56,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,A5,1.0,0.6,0.6,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,A6,1.0,0.59,0.59,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,A7,1.0,0.27,0.27,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,B1,1.0,0.6,0.6,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,B2,1.0,0.44,0.44,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,1,B3,1.0,0.21,0.21,Mathematical Routines,"Magnetism, Current-Carrying Wires, and Lenz’s Law",,
AP Physics 2,2,A1,1.0,0.83,0.83,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",sketch,letter
AP Physics 2,2,A2,1.0,0.62,0.62,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",sketch,letter
AP Physics 2,2,A3,1.0,0.82,0.82,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",sketch,letter
AP Physics 2,2,B1,1.0,0.9,0.9,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",show,sequential
AP Physics 2,2,B2,1.0,0.65,0.65,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",use,sequential
AP Physics 2,2,B3,1.0,0.44,0.44,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",,
AP Physics 2,2,B4,1.0,0.5,0.5,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",,
AP Physics 2,2,C1,1.0,0.85,0.85,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",,
AP Physics 2,2,C2,1.0,0.52,0.52,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",,
AP Physics 2,2,C3,1.0,0.83,0.83,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",,
AP Physics 2,2,D1,1.0,0.75,0.75,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",select,letter
AP Physics 2,2,D2,1.0,0.43,0.43,Translating Between Representations,"Ideal Gas Law, Thermal Processes, and PV Diagrams",select,letter
AP Physics 2,3,A1,1.0,0.61,0.61,Experimental Design and Analysis,RC Circuits,sketch,sequential
AP Physics 2,3,A2,1.0,0.53,0.53,Experimental Design and Analysis,RC Circuits,sketch,sequential
AP Physics 2,3,B1,1.0,0.84,0.84,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,3,B2,1.0,0.58,0.58,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,3,C1,1.0,0.87,0.87,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,3,C2,1.0,0.86,0.86,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,3,C3,1.0,0.87,0.87,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,3,C4,1.0,0.89,0.89,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,3,D1,1.0,0.82,0.82,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,3,D2,1.0,0.35,0.35,Experimental Design and Analysis,RC Circuits,,
AP Physics 2,4,A1,1.0,0.88,0.88,Qualitative/Quantitative Translation,Double-Slit Interference,derive,sequential
AP Physics 2,4,A2,1.0,0.75,0.75,Qualitative/Quantitative Translation,Double-Slit Interference,derive,sequential
AP Physics 2,4,A3,1.0,0.43,0.43,Qualitative/Quantitative Translation,Double-Slit Interference,,
AP Physics 2,4,B1,1.0,0.86,0.86,Qualitative/Quantitative Translation,Double-Slit Interference,derive,letter
AP Physics 2,4,B2,1.0,0.77,0.77,Qualitative/Quantitative Translation,Double-Slit Interference,derive,letter
AP Physics 2,4,B3,1.0,0.26,0.26,Qualitative/Quantitative Translation,Double-Slit Interference,derive,letter
AP Physics 2,4,C1,1.0,0.78,0.78,Qualitative/Quantitative Translation,Double-Slit Interference,,
AP Physics 2,4,C2,1.0,0.73,0.73,Qualitative/Quantitative Translation,Double-Slit Interference,,
AP Physics C: E&M,1,A1,1.0,0.8,0.8,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,A2,1.0,0.4,0.4,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,A3,1.0,0.34,0.34,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,A4,1.0,0.66,0.66,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,A5,1.0,0.64,0.64,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,A6,1.0,0.35,0.35,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,A7,1.0,0.57,0.57,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,B1,1.0,0.26,0.26,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,B2,1.0,0.21,0.21,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,1,B3,1.0,0.19,0.19,Mathematical Routines,"Gauss’s Law, Electric Potential Difference, Capacitance",indicate,letter
AP Physics C: E&M,2,A1,1.0,0.96,0.96,Translation Between Representations,Electromagnetic Induction,sketch,sequential
AP Physics C: E&M,2,A2,1.0,0.76,0.76,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,A3,1.0,0.6,0.6,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,B1,1.0,0.74,0.74,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,B2,1.0,0.69,0.69,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,B3,1.0,0.62,0.62,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,B4,1.0,0.42,0.42,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,C1,1.0,0.57,0.57,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,C2,1.0,0.58,0.58,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,C3,1.0,0.62,0.62,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,D1,1.0,0.76,0.76,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,2,D2,1.0,0.43,0.43,Translation Between Representations,Electromagnetic Induction,,
AP Physics C: E&M,3,A1,1.0,0.46,0.46,Experimental Design and Analysis,Resistance and Resistivity,state,sequential
AP Physics C: E&M,3,A2,1.0,0.83,0.83,Experimental Design and Analysis,Resistance and Resistivity,identify,sequential
AP Physics C: E&M,3,B1,1.0,0.66,0.66,Experimental Design and Analysis,Resistance and Resistivity,,
AP Physics C: E&M,3,B2,1.0,0.55,0.55,Experimental Design and Analysis,Resistance and Resistivity,,
AP Physics C: E&M,3,C1,1.0,0.91,0.91,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: E&M,3,C2,1.0,0.78,0.78,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: E&M,3,C3,1.0,0.91,0.91,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: E&M,3,C4,1.0,0.83,0.83,Experimental Design and Analysis,Resistance and Resistivity,identify,letter
AP Physics C: E&M,3,D1,1.0,0.77,0.77,Experimental Design and Analysis,Resistance and Resistivity,,
AP Physics C: E&M,3,D2,1.0,0.68,0.68,Experimental Design and Analysis,Resistance and Resistivity,,
AP Physics C: E&M,4,A1,1.0,0.75,0.75,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: E&M,4,A2,1.0,0.56,0.56,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: E&M,4,A3,1.0,0.47,0.47,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: E&M,4,B1,1.0,0.73,0.73,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: E&M,4,B2,1.0,0.45,0.45,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: E&M,4,B3,1.0,0.58,0.58,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: E&M,4,C1,1.0,0.55,0.55,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: E&M,4,C2,1.0,0.48,0.48,Qualitative/Quantitative Translation,Magnetic Field and Force Due to Current-Carrying Wire,,
AP Physics C: Mech,1,A1,1.0,0.86,0.86,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,A2,1.0,0.6,0.6,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,A3,1.0,0.46,0.46,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,A4,1.0,0.27,0.27,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,A5,1.0,0.5,0.5,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,A6,1.0,0.46,0.46,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,A7,1.0,0.06,0.06,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,B1,1.0,0.83,0.83,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,B2,1.0,0.74,0.74,Mathematical Routines,Momentum,,
AP Physics C: Mech,1,B3,1.0,0.56,0.56,Mathematical Routines,Momentum,,
AP Physics C: Mech,2,A1,1.0,0.8,0.8,Translating Between Representations,Conservation Laws and Oscillation,find,sequential
AP Physics C: Mech,2,A2,1.0,0.73,0.73,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,A3,1.0,0.77,0.77,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,B1,1.0,0.87,0.87,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,B2,1.0,0.66,0.66,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,B3,1.0,0.54,0.54,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,B4,1.0,0.34,0.34,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,C1,1.0,0.4,0.4,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,C2,1.0,0.72,0.72,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,C3,1.0,0.73,0.73,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,D1,1.0,0.62,0.62,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,2,D2,1.0,0.53,0.53,Translating Between Representations,Conservation Laws and Oscillation,,
AP Physics C: Mech,3,A1,1.0,0.74,0.74,Experimental Design and Analysis,Conservation of Energy,determine,sequential
AP Physics C: Mech,3,A2,1.0,0.78,0.78,Experimental Design and Analysis,Conservation of Energy,determine,sequential
AP Physics C: Mech,3,B1,1.0,0.54,0.54,Experimental Design and Analysis,Conservation of Energy,calculate,sequential
AP Physics C: Mech,3,B2,1.0,0.47,0.47,Experimental Design and Analysis,Conservation of Energy,indicate,sequential
AP Physics C: Mech,3,C1,1.0,0.74,0.74,Experimental Design and Analysis,Conservation of Energy,indicate,letter
AP Physics C: Mech,3,C2,1.0,0.71,0.71,Experimental Design and Analysis,Conservation of Energy,indicate,letter
AP Physics C: Mech,3,C3,1.0,0.8,0.8,Experimental Design and Analysis,Conservation of Energy,indicate,letter
AP Physics C: Mech,3,C4,1.0,0.81,0.81,Experimental Design and Analysis,Conservation of Energy,indicate,letter
AP Physics C: Mech,3,D1,1.0,0.49,0.49,Experimental Design and Analysis,Conservation of Energy,calculate,letter
AP Physics C: Mech,3,D2,1.0,0.5,0.5,Experimental Design and Analysis,Conservation of Energy,calculate,letter
AP Physics C: Mech,4,A1,1.0,0.23,0.23,Qualitative/Quantitative Translation,Rotation and Friction,justify,sequential
AP Physics C: Mech,4,A2,1.0,0.52,0.52,Qualitative/Quantitative Translation,Rotation and Friction,justify,sequential
AP Physics C: Mech,4,A3,1.0,0.23,0.23,Qualitative/Quantitative Translation,Rotation and Friction,,
AP Physics C: Mech,4,B1,1.0,0.29,0.29,Qualitative/Quantitative Translation,Rotation and Friction,,
AP Physics C: Mech,4,B2,1.0,0.14,0.14,Qualitative/Quantitative Translation,Rotation and Friction,,
AP Physics C: Mech,4,B3,1.0,0.23,0.23,Qualitative/Quantitative Translation,Rotation and Friction,,
AP Physics C: Mech,4,C1,1.0,0.44,0.44,Qualitative/Quantitative Translation,Rotation and Friction,,
AP Physics C: Mech,4,C2,1.0,0.23,0.23,Qualitative/Quantitative Translation,Rotation and Friction,,
AP Precalculus,1,A1,1.0,0.64,0.64,,Function Concepts,identify,letter
AP Precalculus,1,A2,1.0,0.72,0.72,,Function Concepts,identify,letter
AP Precalculus,1,B1,1.0,0.56,0.56,,Function Concepts,show,letter
AP Precalculus,1,B2,1.0,0.56,0.56,,Function Concepts,show,letter
AP Precalculus,1,C1,1.0,0.73,0.73,,Function Concepts,use,sequential
AP Precalculus,1,C2,1.0,0.3,0.3,,Function Concepts,indicate,sequential
AP Precalculus,2,A1,1.0,0.53,0.53,,Modeling a Non-Periodic Context,use,letter
AP Precalculus,2,A2,1.0,0.48,0.48,,Modeling a Non-Periodic Context,use,letter
AP Precalculus,2,B1,1.0,0.63,0.63,,Modeling a Non-Periodic Context,use,letter
AP Precalculus,2,B2,1.0,0.41,0.41,,Modeling a Non-Periodic Context,use,letter
AP Precalculus,2,B3,1.0,0.06,0.06,,Modeling a Non-Periodic Context,use,letter
AP Precalculus,2,C1,1.0,0.05,0.05,,Modeling a Non-Periodic Context,use,letter
AP Precalculus,3,A1,1.0,0.77,0.77,,Modeling a Periodic Context,indicate,letter
AP Precalculus,3,A2,1.0,0.34,0.34,,Modeling a Periodic Context,indicate,letter
AP Precalculus,3,B1,1.0,0.67,0.67,,Modeling a Periodic Context,indicate,letter
AP Precalculus,3,B2,1.0,0.18,0.18,,Modeling a Periodic Context,indicate,letter
AP Precalculus,3,C1,1.0,0.67,0.67,,Modeling a Periodic Context,indicate,letter
AP Precalculus,3,C2,1.0,0.51,0.51,,Modeling a Periodic Context,indicate,letter
AP Precalculus,4,A1,1.0,0.53,0.53,,Symbolic Manipulations,indicate,letter
AP Precalculus,4,A2,1.0,0.43,0.43,,Symbolic Manipulations,indicate,letter
AP Precalculus,4,B1,1.0,0.45,0.45,,Symbolic Manipulations,use,letter
AP Precalculus,4,B2,1.0,0.28,0.28,,Symbolic Manipulations,use,letter
AP Precalculus,4,C1,1.0,0.14,0.14,,Symbolic Manipulations,use,sequential
AP Precalculus,4,C2,1.0,0.1,0.1,,Symbolic Manipulations,use,sequential
